student_id,ug_gpa,ug_university_tier,ug_major,academic_consistency_score,number_of_backlogs,gre_quant,gre_verbal,gre_awa,english_test_type,english_proficiency_score,work_experience_months,project_count,research_exposure_level,internship_relevance_score,field_alignment_score,sop_quality_score,lor_strength_score,resume_strength_score,career_goal_clarity_score,application_completeness_score,intended_specialization,target_university_ranking_band,application_round,visa_dependency,gap_years,linkedin_profile_views,counselling_sessions_attended,preferred_application_city,admission_competitiveness
STU100000,6.322932457029495,Tier 3,Maths,5.233771316149065,0,146.898434016714,157.78590484017076,3.6920590584641757,TOEFL,85.27328051941373,13.306054573281267,2,1,7.256525062420399,2.7218169264809386,10.0,5.887371592113602,6.257595975624304,9.29331017103295,6.841624531112426,Robotics,Top 100,Fall,Yes,1,155.26330633449487,2,Pune,1
STU100001,8.197610901925227,Tier 2,Maths,6.154830203496839,0,168.86244776418405,141.29120632569973,3.10123010008022,TOEFL,109.18471469021097,27.466567124531224,5,0,2.481750668201961,5.55666940271948,5.495281654158761,7.427367369796459,6.5447483545397835,6.964615588633761,7.013050271619078,ECE,Top 50,Fall,Yes,0,78.82728179296778,1,Hyderabad,0
STU100002,7.5546806482467925,Tier 2,Mechanical,6.615851281921995,0,166.23729486386108,149.47472068252858,3.7449988465313258,IELTS,91.98353449369972,23.694713077056953,2,0,6.869780326719435,7.08757511473506,8.21855783552424,9.147697903872194,4.499577349897546,5.684458890914891,7.335024658201257,Mgmt,Above 100,Fall,Yes,0,45.30695606031072,0,Mumbai,1
STU100003,5.944334757473717,Tier 3,EEE,5.083297794358692,0,157.8735641963538,149.23194895996917,3.5611918222522,IELTS,76.28911727862715,38.494992313810506,2,1,5.209660166066341,7.320374671967005,5.333727079297103,6.383523674032118,8.685337918662414,6.8500509761932715,7.108434140555224,Robotics,Top 100,Fall,Yes,0,107.61675245283735,2,Hyderabad,0
STU100004,6.779259773228317,Tier 2,ECE,7.763144406889433,0,151.62623792496802,147.79617330372886,4.246854874205012,TOEFL,96.46274893534238,16.947978208108285,2,3,3.6938413838671713,7.130872830298719,6.164395562126416,4.748078042640802,8.449973483292434,8.356736981166865,7.938239603456098,CyberSec,Top 100,Fall,Yes,0,154.61551830162676,3,Bangalore,0
STU100005,8.786292883387436,Tier 3,IT,8.65180634071871,0,164.0598356953523,155.16138523435086,3.818430578126131,IELTS,79.07641688612645,44.10245263630452,6,0,6.25909981923317,5.292526022361862,6.684692762594334,6.942895163979645,5.176399076463085,8.302602349095327,7.841809252481774,CS,Top 50,Fall,Yes,1,69.28662621887278,0,Pune,1
STU100006,5.1159886809462325,Tier 2,CS,7.292627842657915,0,158.06874852797438,153.2374475059746,3.8797308346276393,TOEFL,89.58128481729895,24.63160736580926,1,0,5.364826961221517,9.336707184605809,6.057759501788106,7.235798554832278,6.291293669943369,6.582292290307291,5.569015045383688,CyberSec,Top 20,Fall,Yes,1,36.61957730996687,1,Hyderabad,1
STU100007,6.913978634029441,Tier 1,Maths,5.625229179434085,2,167.31026279459738,142.04300750804038,4.825370333891312,IELTS,76.28133827864089,25.131274441441114,3,0,3.8352436334143873,4.081178720513588,6.398991405586532,6.230243911911016,5.223025331623605,6.587993077915304,9.146573413508728,AI,Top 20,Fall,No,0,102.25911186247656,4,Hyderabad,0
STU100008,8.43934263283498,Tier 2,Civil,4.827836616202614,0,155.02429999582134,139.44686693900223,3.8427718768367667,TOEFL,96.46214837454754,13.080862257083666,4,0,2.8025316915145346,3.8814612180485244,6.794952596924916,6.372184244324181,6.424210778426519,5.681536105884247,8.60439945548554,AI,Top 50,Fall,Yes,0,16.156055311589515,2,Hyderabad,0
STU100009,6.519933637961408,Tier 3,Civil,9.824625704532519,3,161.77601389496283,163.03771124521975,,TOEFL,86.36775592771998,11.199260136430588,2,0,9.163115165896421,8.077914925103004,7.033139522687154,6.861098687548386,6.323961172735517,7.174463627451518,8.823376553960504,Mgmt,Top 20,Fall,Yes,0,32.10647877441192,3,Pune,1
