user_id,city,device_type,subscription_status,user_segment_label,preferred_cuisine,app_opens_per_month,avg_session_duration_minutes,browse_sessions_without_order,orders_per_month,avg_order_value,monthly_food_spend,discount_usage_rate,promo_orders_ratio,weekend_order_ratio,late_night_orders_ratio,peak_hour_orders_ratio,days_since_last_order,avg_delivery_time_minutes,order_cancellation_rate,app_rating_given,customer_support_chats
ZOM200000,Hyderabad,iOS,None,Returning,North Indian,26.74016826,8.965961236,8.465340404,4.815482082,339.1808156,1600.326137,0.355390365,0.62907274,0.326297553,0.451232885,0.525324937,8.39002643,32.19359725,0.01957488,4.362832785,0
ZOM200001,Kolkata,iOS,None,Returning,Chinese,10.14554411,6.343538251,10.52694758,0.276121016,204.3984392,0,0.227850643,0.005543501,0.643286604,0,0.43489248,26.20510011,26.34191742,0.068982363,4.295367948,2
ZOM200002,Kolkata,Android,Zomato Gold,Returning,Italian,23.19042894,7.971666294,12.84448556,3.517156021,258.7244707,1969.905871,0.523862613,0.338718218,0.44628951,0.250969748,0.606698119,13.6690601,28.57575186,0.049403951,4.54300295,0
ZOM200003,Hyderabad,Android,Zomato Gold,Returning,South Indian,13.08307957,6.911307576,9.543094535,2.315705457,198.966084,1249.130301,0.342982276,0.717055405,0.215513101,0.401037361,0.628075642,20.31036165,21.66712514,0.040057516,4.286455544,0
ZOM200004,Bangalore,Android,None,Long-Term,Desserts,61.48803798,16.93611839,5.490302379,19.7263692,475.9155618,9947.697826,0.279026122,0.199145284,0.292875664,0.374529186,0.398572165,3.43540852,40.14521767,0.104421326,3.827625687,0
ZOM200005,Pune,Android,None,Returning,North Indian,91.84674238,11.02789172,5.195914371,13.56016757,,7325.139217,,0.321592136,0.729096039,0.186641547,0.71096337,5.743526634,,0,4.307643656,1
ZOM200006,Pune,Android,None,Returning,North Indian,52.66731174,17.20387902,4.500208721,13.00490845,,4768.03712,0.128644397,0.158542349,0.424009023,0.247710662,0.723346822,1.023340749,26.9580716,0.021505316,4.386641125,0
ZOM200007,Delhi,Android,Zomato Gold,Long-Term,Italian,8.542008976,2.685352773,3.75594422,1.430195802,,734.8890571,0.042453099,0.092006568,0.559180143,0.11495875,0.714068795,67.26168625,38.07788058,0.030530467,3.99781067,0
ZOM200008,Bangalore,Android,None,Returning,South Indian,16.77300205,6.40509014,8.911773575,3.403000444,260.0155346,1290.560546,0.498783126,0.591608488,0.358915855,0.074340034,0.528973132,19.79911909,33.9825706,0.04880689,4.567052978,1
ZOM200009,Mumbai,iOS,None,Returning,Desserts,26.47836506,8.110823052,1.929601475,3.086719752,249.9731849,0,0.569499742,0.643878822,0.382353899,0.183924253,0.559728058,15.19281581,,0.053246691,3.742630408,0
